Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
2015,1,1,Weekend,1500,2-Car,No injury,FOLLOWING TOO CLOSELY,SOUTH WALNUT & SOUTH WALNUT STREET,39.107344,-86.5264
2015,1,1,Weekend,1800,1-Car,No injury,ROADWAY SURFACE CONDITION,17TH & MONROE,39.179248,-86.547104
2015,1,1,Weekend,1800,2-Car,No injury,FOLLOWING TOO CLOSELY,ARLINGTON & MONROE,39.179248,-86.547104
2015,1,1,Weekend,1600,1-Car,No injury,RAN OFF ROAD RIGHT,SOUTH LIBERTY,39.145264,-86.577616
2015,1,1,Weekend,1800,1-Car,No injury,RAN OFF ROAD RIGHT,DILLMAN & SR37S,39.09571236,-86.54595204
2015,1,1,Weekend,1200,2-Car,No injury,FOLLOWING TOO CLOSELY,RHORER & S WALNUT,39.12144,-86.526496
2015,1,2,Weekday,700,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,446 & SR46E,39.16692661,-86.4572165
2015,1,1,Weekend,700,1-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,CHAPEL HILL & SR446S,39.02843027,-86.40780689
2015,1,2,Weekday,700,1-Car,No injury,ANIMAL/OBJECT IN ROADWAY,3320 E RHORER & SNODDY,39.121584,-86.489744
2015,1,2,Weekday,1300,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,3RD & KINGSTON,39.16424,-86.49312041
2015,1,2,Weekday,1700,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,EAST 10TH & NORTH UNION,39.17093258,-86.509391
2015,1,1,Weekday,2100,2-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,SOUTH CLARIZZ,39.15263367,-86.49272919
2015,1,2,Weekday,1700,2-Car,functional,FOLLOWING TOO CLOSELY,COUNTRY CLUB & ROGERS,39.13608,-86.538096
2015,1,1,Weekday,2000,1-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,W SR 45,39.125312,-86.610496
2015,1,2,Weekday,1900,1-Car,No injury,RAN OFF ROAD RIGHT,E GETTYS CREEK & E KERR CREK,39.17187028,-86.4167107
2015,1,2,Weekday,1700,2-Car,No injury,FOLLOWING TOO CLOSELY,3RD & LIBERTY,39.16461021,-86.57913007
2015,1,2,Weekday,2100,1-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,SOUTH ROGERS & WEST GORDON PIKE,39.121648,-86.539088
2015,1,7,Weekend,2000,1-Car,No injury,RAN OFF ROAD RIGHT,INGRAM & SR37,38.992016,-86.537248
2015,1,3,Weekday,700,2-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,1025 W 7TH & N OAK,39.168656,-86.5468
2015,1,3,Weekday,1200,2-Car,functional,SPEED TOO FAST FOR WEATHER CONDITIONS,DUNN & EAST 17TH,39.17900187,-86.52832631
2015,1,3,Weekday,1500,2-Car,No injury,FOLLOWING TOO CLOSELY,10TH & WOODLAWN,39.171632,-86.523536
2015,1,2,Weekday,2100,1-Car,No injury,RAN OFF ROAD RIGHT,GARDNER & GARRISON CHAPEL,39.134144,-86.642864
2015,1,7,Weekend,1800,Pedestrian,non-funcitonal,PEDESTRIAN ACTION,COOLIDGE & ROCKPORT,39.14192595,-86.54314176
2015,1,3,Weekday,1900,1-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,HEADLEY & MATLOCK,39.19115236,-86.51175974
2015,1,2,Weekday,1500,2-Car,No injury,UNSAFE BACKING,WEST ROLL,39.14728113,-86.58089831
2015,1,2,Weekday,1500,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,SR46 & UNIONVALLEY,39.215152,-86.5928
2015,1,3,Weekday,1900,2-Car,No injury,IMPROPER TURNING,DEER PARK & SR46W,39.21210074,-86.58736299
2015,1,4,Weekday,0,1-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,DUNN & OLD STATE RD 37,39.208048,-86.528704
2015,1,4,Weekday,400,1-Car,non-funcitonal,RAN OFF ROAD RIGHT,BREEDEN & SR45W,39.0881573,-86.66901213
2015,1,3,Weekday,1000,2-Car,No injury,UNSAFE BACKING,RAPPEL,39.18768311,-86.54618835
2015,1,4,Weekday,1700,2-Car,No injury,UNSAFE LANE MOVEMENT,FESS & THIRD,39.16427777,-86.52588752
2015,1,4,Weekday,1800,2-Car,No injury,UNSAFE BACKING,S COLLEGE MALL,39.15412578,-86.49786768
2015,1,3,Weekday,1800,2-Car,No injury,FOLLOWING TOO CLOSELY,SR37S & VICTOR,39.105552,-86.551104
2015,1,4,Weekday,1600,2-Car,No injury,FOLLOWING TOO CLOSELY,EAST KERR CREEK & SR46E,39.16664,-86.462496
2015,1,4,Weekday,1500,2-Car,No injury,FOLLOWING TOO CLOSELY,SR37N & WAYPORT,39.263024,-86.52264
2015,1,5,Weekday,700,1-Car,No injury,IMPROPER TURNING,RHORER & S OLD ST RD 37,39.12141994,-86.53134987
2015,1,5,Weekday,600,2-Car,functional,IMPROPER TURNING,S COLLEGE & W 4TH,39.165664,-86.5348
2015,1,5,Weekday,900,2-Car,No injury,FOLLOWING TOO CLOSELY,E 3RD & SR46E,39.16424,-86.473296
2015,1,5,Weekday,900,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,E 1ST & S EASTSIDE,39.159248,-86.51256
2015,1,5,Weekday,900,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,E 8TH & N WALNUT,39.169552,-86.533552
2015,1,5,Weekday,800,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,JORDAN & LAW,39.173552,-86.515488
2015,1,7,Weekend,0,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,EAST 3RD & PETE ELLIS,39.16424,-86.495088
2015,1,5,Weekday,1400,2-Car,No injury,FOLLOWING TOO CLOSELY,FOURTH & SR46W,0,0
2015,1,4,Weekday,2200,1-Car,No injury,RAN OFF ROAD RIGHT,S ROCKPORT & VICTOR,39.053744,-86.606304
2015,1,5,Weekday,1800,Cyclist,non-funcitonal,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,ATWATER & HIGH,39.16311481,-86.50846175
2015,1,5,Weekday,2000,2-Car,No injury,LEFT OF CENTER,CHAFIN CHAPEL & W STATE ROAD 46,39.25962636,-86.65763204
2015,1,6,Weekday,700,2-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RHORER & S WALNUT ST,39.12144,-86.526496
2015,1,6,Weekday,800,2-Car,No injury,FOLLOWING TOO CLOSELY,100 BLK W TAPP & S WALNUT,0,0
2015,1,6,Weekday,800,2-Car,No injury,FOLLOWING TOO CLOSELY,SO PATTERSON & W 3RD,39.16344009,-86.55127137
2015,1,1,Weekend,1300,2-Car,No injury,IMPROPER LANE USAGE,CURRY & SR46W,39.15835953,-86.58264923
2015,1,5,Weekday,1300,2-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,2ND & PATTERSON,39.16074984,-86.54850997
2015,1,6,Weekday,700,2-Car,No injury,LEFT OF CENTER,SR48 & STONE CHASE,39.16475122,-86.59523284
2015,1,6,Weekday,1200,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,HENDERSON & HILLSIDE,39.15063632,-86.52720688
2015,1,6,Weekday,1300,2-Car,functional,FOLLOWING TOO CLOSELY,THIRD,39.164752,-86.573104
2015,1,6,Weekday,1500,2-Car,functional,FOLLOWING TOO CLOSELY,PATTERSON & THIRD,39.16344009,-86.55127137
2015,1,6,Weekday,1500,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,E ATWATER & S HIGHLAND,39.16305989,-86.51773028
2015,1,6,Weekday,1500,2-Car,No injury,RAN OFF ROAD RIGHT,MOORES CREEK & SNOODY,39.12134014,-86.48974361
2015,1,4,Weekday,0,2-Car,non-funcitonal,FAILURE TO YIELD RIGHT OF WAY,ACUFF & SR37N,39.20824,-86.554704
2015,1,4,Weekday,800,1-Car,No injury,ROADWAY SURFACE CONDITION,SR37S,0,0
2015,1,7,Weekend,1100,2-Car,No injury,FOLLOWING TOO CLOSELY,BURKS & WALNUT,39.15836229,-86.53136998
2015,1,6,Weekend,2100,1-Car,No injury,IMPROPER TURNING,MITCHELL & THIRD,39.16427137,-86.51420373
2015,1,1,Weekend,1800,2-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,BETHEL,39.21258773,-86.46348219
2015,1,7,Weekend,1600,2-Car,No injury,FOLLOWING TOO CLOSELY,CURRY & GIFFORD,39.15648401,-86.58270442
2015,1,7,Weekend,1500,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,3RD & GRANT,39.16464,-86.529728
2015,1,6,Weekend,2000,1-Car,No injury,RAN OFF ROAD RIGHT,RUSSELL & TIMBERCREST,39.193408,-86.48584
2015,1,7,Weekend,1700,2-Car,No injury,IMPROPER TURNING,S COLLEGE,39.16115717,-86.53485253
2015,1,1,Weekend,100,2-Car,No injury,UNSAFE LANE MOVEMENT,7TH & N ROGERS,39.168704,-86.538576
2015,1,1,Weekend,1000,2-Car,No injury,IMPROPER LANE USAGE,7TH & WALNUT,39.16864,-86.533568
2015,1,1,Weekday,2000,2-Car,No injury,UNSAFE LANE MOVEMENT,S LIBERTY & SR45W,39.14547579,-86.57703014
2015,1,1,Weekend,1800,2-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S CLARIZZ,39.15263367,-86.49272918
2015,1,2,Weekday,200,1-Car,No injury,RAN OFF ROAD RIGHT,E SAMPLE & N OLD STATE 37,39.25864,-86.5012
2015,1,1,Weekend,1200,1-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,WEST 11TH,39.17344,-86.52237094
2015,1,2,Weekday,600,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,BLOOMFIELD & SR37,39.148144,-86.572992
2015,1,2,Weekday,600,2-Car,No injury,ROADWAY SURFACE CONDITION,WEST 2ND,39.16025543,-86.54006195
2015,1,2,Weekday,700,1-Car,No injury,RAN OFF ROAD RIGHT,TYLER LANE,39.1316,-86.576944
2015,1,2,Weekday,1400,3+ Cars,non-funcitonal,FOLLOWING TOO CLOSELY,BLOOMFIELD & RANSOM,39.15944,-86.555296
2015,1,2,Weekday,1500,1-Car,No injury,ANIMAL/OBJECT IN ROADWAY,S WEIMER & W TAPP,39.136512,-86.562016
2015,1,3,Weekday,300,2-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,CHANDLER & RENEE,39.23488,-86.616736
2015,1,3,Weekday,700,1-Car,No injury,RAN OFF ROAD RIGHT,E 10TH & N WASHINGTON,39.171728,-86.5324
2015,1,1,Weekend,1100,1-Car,functional,ANIMAL/OBJECT IN ROADWAY,DELAP,39.250778,-86.615867
2015,1,2,Weekday,800,1-Car,No injury,OVERCORRECTING/OVERSTEERING,SHUFFLE CREEK & SR45E,39.22993318,-86.4157437
2015,1,3,Weekday,900,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,SR37 & SR45W,39.187344,-86.5552
2015,1,3,Weekday,1100,Pedestrian,functional,PEDESTRIAN ACTION,6TH & INDIANA,39.167744,-86.526928
2015,1,3,Weekday,1300,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,S WALNUT,39.13432546,-86.52733091
2015,1,3,Weekday,1700,2-Car,No injury,FOLLOWING TOO CLOSELY,ROGERS & W 2ND,39.16152,-86.538592
2015,1,3,Weekday,1800,2-Car,No injury,FOLLOWING TOO CLOSELY,RAMP 15 SB SR 37 TO SR 45 WEST & SR45W,0,0
2015,1,3,Weekday,1700,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,3RD & SR37,39.164752,-86.573104
2015,1,3,Weekday,1800,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,9TH & COLLEGE,39.170544,-86.534768
2015,1,3,Weekday,2300,Pedestrian,non-funcitonal,FAILURE TO YIELD RIGHT OF WAY,THIRD & WOODLAWN,39.16426449,-86.5226336
2015,1,4,Weekday,800,2-Car,No injury,LEFT OF CENTER,S CURRY,39.142048,-86.582592
2015,1,3,Weekday,1200,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,S ROGERS & W 4TH,39.165696,-86.538592
2015,1,4,Weekday,900,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,PARK & WILSON,39.151552,-86.523664
2015,1,4,Weekday,1100,2-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLEGE & KIRKWOOD,39.16718927,-86.53479128
2015,1,4,Weekday,1200,2-Car,functional,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S HIGHLAND & WINSLOW FARM,39.136048,-86.518496
2015,1,3,Weekday,1800,3+ Cars,No injury,FOLLOWING TOO CLOSELY,SR37S & VICTOR,39.105552,-86.551104
2015,1,4,Weekday,2000,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,10TH & WOODLAWN,39.17108301,-86.52351178
2015,1,5,Weekday,700,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,3RD & WALNUT,39.16464,-86.5336
2015,1,3,Weekday,1100,1-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,3RD,39.16424,-86.48599111
2015,1,5,Weekday,700,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,S WALNUT,39.142555,-86.531238
2015,1,5,Weekday,1200,2-Car,No injury,UNSAFE BACKING,3RD & LIBERTY,39.16461021,-86.57913006
2015,1,5,Weekday,900,1-Car,No injury,UNSAFE BACKING,2418 E GOLDIN & E GOLDIN,39.128067,-86.50872634
2015,1,5,Weekday,0,2-Car,No injury,UNSAFE BACKING,NORTH FEE,39.17658828,-86.51891313
